#ncounts	stability	slowest	next-slowest
341339900	   0.350	   6422.29109088	   4529.38341977
342843600	   0.352	   6448.96637207	   4545.62928029
344347300	   0.352	   6446.47669639	   4552.55588772
345851000	   0.350	   6432.43016760	   4560.17460734
347354700	   0.352	   6456.31942312	   4577.41741066
348858400	   0.353	   6486.10009772	   4578.27220297
350362100	   0.353	   6507.37495070	   4597.30920890
351865800	   0.355	   6519.09677868	   4614.12481109
353369500	   0.356	   6545.57895464	   4633.12780698
354873200	   0.357	   6558.21244129	   4647.12340901
356376900	   0.358	   6578.11604808	   4664.47210868
357880600	   0.359	   6617.49140665	   4667.94902469
359384300	   0.360	   6619.81199488	   4674.26310935
360888000	   0.359	   6631.18210044	   4693.22347357
362391700	   0.360	   6646.73601469	   4709.82784138
363895400	   0.360	   6665.29264797	   4726.47427695
365399100	   0.361	   6684.93123503	   4744.93264780
366902800	   0.358	   6657.40883314	   4748.66732674
368406500	   0.357	   6664.19953540	   4761.71635523
369910200	   0.358	   6681.15430303	   4774.39148155
371413900	   0.359	   6706.76628813	   4791.41555755
372917600	   0.360	   6725.57168088	   4809.04588248
374421300	   0.359	   6720.68475386	   4817.39396861
375925000	   0.360	   6740.42633850	   4830.71200566
377428700	   0.360	   6753.26040118	   4840.30645854
378932400	   0.360	   6760.39013007	   4850.05184474
380436100	   0.361	   6782.31414449	   4865.24299217
381939800	   0.361	   6785.59765874	   4874.02349606
383443500	   0.361	   6832.38876238	   4871.57436289
384947200	   0.361	   6843.15993195	   4882.65643916
386450900	   0.361	   6868.15997040	   4903.26076870
387954600	   0.362	   6880.67042984	   4913.21234045
389458300	   0.362	   6889.64276238	   4923.42102265
390962000	   0.363	   6891.06506622	   4931.46273364
392465700	   0.363	   6906.70423885	   4944.70926111
393969400	   0.364	   6918.56199706	   4954.78956402
395473100	   0.364	   6928.14153508	   4963.78474706
396976800	   0.366	   6954.26360785	   4978.54345422
398480500	   0.367	   6965.45368645	   4988.36394412
399984200	   0.367	   6980.28267710	   5001.58627784
401487900	   0.367	   7014.51932361	   5000.89144444
402991600	   0.367	   7030.31533115	   5014.13824220
404495300	   0.364	   6999.21724070	   5009.80214501
405999000	   0.363	   7028.22425354	   5004.27505265
407502700	   0.363	   7040.58902348	   5013.41060354
